Cleanin' Out My Closet,298960,55,9,4,0.756,0,-4.983,147.979,1
Just Lose It,248600,59,5,4,0.619,3.01E-05,-3.921,120.999,1
When I'm Gone,281133,73,1,4,0.73,0,-5.574,74.89,1
Stan,380280,56,8,4,0.835,0,-5.589,79.892,0
Dead Wrong,297440,48,10,4,0.868,0.00128,-4.167,82.097,0
Role Model,205280,49,8,4,0.583,2.66E-06,-4.418,91.967,0
Kill You,264786,51,11,4,0.62,2.77E-05,-6.242,107.142,1
Shit On You,328213,52,8,4,0.749,0,-6.706,110.787,0
Criminal,313680,49,4,4,0.73,0,-6.23,102.049,0
Renegade,336133,66,1,4,0.718,1.86E-06,-4.898,82.535,0
Jungle Gone Down,242314,12,10,4,0.903,0.00859,-3.386,171.926,0
Arps Of Fury,324471,8,7,5,0.922,0.486,-4.656,107.404,0
Steeplechase,271598,9,7,3,0.858,0.833,-4.838,114.647,0
Stalking Stones,249156,8,5,4,0.842,0.836,-4.937,172.051,0
Keys,303774,14,5,4,0.883,0.91,-5.224,172.007,0
OCD,207110,6,0,4,0.943,0.86,-5.589,159.97,0
Kronos,348730,10,5,4,0.939,0.8,-3.266,171.992,0
People Who Look Like You,264002,6,11,5,0.717,0.742,-3.767,107.714,0
Modular Jam,269452,5,6,4,0.861,0.564,-3.711,85.561,0
Lunar,266847,21,7,4,0.862,0.837,-5.295,172.033,0
The Dusty Foot Philosopher,236373,0,7,4,0.536,0,-6.707,182.757,1
Good Rebels (feat. Moonflwr),169687,37,9,4,0.776,0,-6.79,128.063,0
Brighton,207412,35,4,4,0.549,0.0592,-10.461,124.936,0
Country Road,214230,11,0,4,0.697,0,-3.902,143.998,1
IDGAF,252055,29,5,4,0.65,0,-7.195,120.024,0
Jazz,260160,8,8,3,0.61,0.000121,-9.665,125.227,0
Better Days,227746,55,0,4,0.562,0,-6.311,90.026,0
You,261733,43,11,4,0.483,2.02E-05,-7.409,90.022,0
Chambers (feat. Fat Jon / Nujabes),223346,0,11,4,0.687,0,-7.86,94.008,0
Mistakes Like This,191954,51,1,4,0.815,0.000549,-5.077,161.905,1
Stalking Stones,249156,8,5,4,0.842,0.836,-4.937,172.051,0
Get Up And Growl,248697,5,7,4,0.864,0.889,-4.33,171.959,0
Shark,248367,4,1,5,0.689,0.597,-6.235,107.438,0
Slimebanks,298071,4,2,5,0.976,0.885,-3.884,109.783,0
The Calendar Hung Itselfï¿½,235973,37,4,4,0.888,0,-6.17,112.948,0
Try the Bass,299543,24,6,4,0.814,0.402,-8.382,115.009,0
Hunter,219778,36,3,4,0.814,0,-5.409,179.695,0
Typical,197266,38,1,3,0.861,0,-3.679,114.426,1
Naruto,242568,37,11,5,0.702,0,-10.185,126.463,0
Conspiracy Theories w/ out Mel Gibson,220506,0,7,4,0.724,0,-4.688,97.02,0
Weird Side,193533,34,6,4,0.961,0.000262,-2.061,116.979,0
Rebuild,227500,34,8,4,0.815,1.69E-06,-8.911,98.986,0
Dopamine Notes,205110,0,7,4,0.647,0,-11.74,86.051,0
Drop The World,229626,4,1,4,0.906,0,-1.641,145.048,1
